,secID,ticker,exchangeCD,secShortName,tradeDate,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,CHG,CHGPct,turnoverVol,turnoverValue,discount,discountRatio,circulationShares,accumAdjFactor
423,511860.XSHG,511860,XSHG,博时保证金实时货币ETF-A,2015-05-13,100.045,100.017,100.029,100.017,100.024,-0.021,-0.0002,29971,2997810.0,-0.024,-0.00024,1894400.0,1.0
424,511880.XSHG,511880,XSHG,银华货币ETF-A,2015-05-13,101.67,101.659,101.667,101.634,101.641,-0.029,-0.0003,27083114,2753011084.0,0.003,3e-05,113368700.0,1.075544
425,511990.XSHG,511990,XSHG,华宝现金添益货币ETF-A,2015-05-13,100.046,100.032,100.051,100.03,100.045,-0.001,0.0,198764019,19884419215.0,-0.045,-0.00045,480509200.0,1.0
426,512010.XSHG,512010,XSHG,易方达沪深300医药卫生ETF,2015-05-13,1.38,1.332,1.38,1.332,1.375,-0.005,-0.0036,1802061,2472315.0,0.0102,0.007364,41173700.0,1.0
427,512070.XSHG,512070,XSHG,易方达沪深300非银行金融ETF,2015-05-13,2.76,2.761,2.78,2.68,2.694,-0.066,-0.0239,22784800,61749458.0,0.0036,0.001335,1255159900.0,1.0
428,512110.XSHG,512110,XSHG,华安中证细分地产ETF,2015-05-13,2.13,2.14,2.185,2.111,2.181,0.051,0.0239,119900,256897.0,-0.012,-0.005533,2643200.0,1.0
429,512120.XSHG,512120,XSHG,华安中证细分医药ETF,2015-05-13,1.592,1.59,1.6,1.53,1.595,0.003,0.0019,3509700,5582462.0,0.0,0.0,95747300.0,1.0
430,512210.XSHG,512210,XSHG,景顺长城中证800食品饮料ETF,2015-05-13,1.48,1.473,1.512,1.473,1.499,0.019,0.0128,3045600,4568211.0,0.0027,0.001798,136809400.0,1.0
431,512220.XSHG,512220,XSHG,景顺长城中证科技传媒通信150ETF,2015-05-13,2.184,2.17,2.226,2.085,2.2,0.016,0.0073,1078684,2356293.0,0.0108,0.004885,19467600.0,1.0
432,512230.XSHG,512230,XSHG,景顺长城中证医药卫生ETF,2015-05-13,1.649,1.648,1.666,1.632,1.656,0.007,0.0042,212400,348320.0,0.0064,0.00385,123868200.0,1.0
433,512300.XSHG,512300,XSHG,南方中证500医药卫生指数ETF,2015-05-13,1.624,1.624,1.651,1.607,1.632,0.008,0.0049,2978400,4861928.0,0.0111,0.006756,142117100.0,1.0
434,512310.XSHG,512310,XSHG,南方中证500工业指数ETF,2015-05-13,1.023,1.023,1.05,1.012,1.035,0.012,0.0117,80815800,83758812.0,0.0051,0.004903,625389000.0,1.0
435,512600.XSHG,512600,XSHG,嘉实中证主要消费ETF,2015-05-13,1.669,1.669,1.719,1.669,1.692,0.023,0.0138,1021500,1730182.0,0.0093,0.005466,30451200.0,1.0
436,512610.XSHG,512610,XSHG,嘉实中证医药卫生ETF,2015-05-13,1.761,1.76,1.78,1.744,1.77,0.009,0.0051,1512900,2661456.0,0.0015,0.000847,125640600.0,1.0
437,512640.XSHG,512640,XSHG,嘉实中证金融地产ETF,2015-05-13,2.105,2.106,2.188,2.068,2.09,-0.015,-0.0071,207864,437654.0,0.0015,0.000717,16240900.0,1.0
438,512990.XSHG,512990,XSHG,华夏MSCI中国A股ETF,2015-05-13,1.336,1.338,1.344,1.32,1.33,-0.006,-0.0045,38080213,50802643.0,0.0052,0.003895,1199515400.0,1.0
439,513030.XSHG,513030,XSHG,华安国际龙头(DAX)ETF(QDII),2015-05-13,1.019,1.005,1.012,1.004,1.008,-0.011,-0.0108,23576717,23727912.0,-0.003,-0.002985,438779000.0,1.0
440,513100.XSHG,513100,XSHG,国泰纳斯达克100ETF(QDII),2015-05-13,1.453,1.45,1.451,1.441,1.45,-0.003,-0.0021,39600103,57249595.0,-0.013,-0.009047,53622100.0,1.0
441,513500.XSHG,513500,XSHG,博时标普500ETF(QDII),2015-05-13,1.162,1.16,1.161,1.154,1.159,-0.003,-0.0026,108185024,125402580.0,0.008,0.006855,232819300.0,1.0
442,513600.XSHG,513600,XSHG,南方恒生ETF(QDII),2015-05-13,2.168,2.162,2.165,2.146,2.149,-0.019,-0.0088,3419674,7376196.0,-0.0036,-0.001678,114829500.0,1.0
443,513660.XSHG,513660,XSHG,华夏沪港通恒生ETF(QDII),2015-05-13,2.162,2.165,2.165,2.14,2.14,-0.022,-0.0102,12403351,26720253.0,0.0126,0.005853,656000100.0,1.0
444,518800.XSHG,518800,XSHG,国泰黄金ETF,2015-05-13,2.369,2.371,2.373,2.369,2.373,0.004,0.0017,13391677,31751509.0,0.0026,0.001094,27419900.0,1.0
445,518880.XSHG,518880,XSHG,华安易富黄金ETF,2015-05-13,2.376,2.383,2.385,2.376,2.384,0.008,0.0034,9968914,23743550.0,0.016,0.006667,114340800.0,1.0
